"accountName","viewID","accountId","webPropertyId","internalWebPropertyId","viewName","timezone","websiteUrl","siteSearchQueryParameters","stripSiteSearchQueryParameters","created","updated","botFilteringEnabled"
"pubs.er.usgs.gov","20354817","10113280","UA-10113280-1","22153976","pubs.er.usgs.gov","America/Chicago","http://pubs.er.usgs.gov","q,advanced",TRUE,2009-08-06 14:30:40,2015-01-13 18:15:41,TRUE
"WQP","53642301","27507375","UA-27507375-1","52832367","WQP","America/Chicago","http://www.waterqualitydata.us",NA,NA,2011-12-06 03:20:07,2015-07-24 16:13:53,TRUE
"NAWQA Data Warehouse","53944490","27722501","UA-27722501-1","53138502","NAWQA Data Warehouse","America/Los_Angeles","http://infotrek.er.usgs.gov",NA,NA,2011-12-14 17:39:13,2013-02-05 19:55:33,NA
"NAWQA Data Warehouse","68764488","27722501","UA-27722501-2","66858313","All Web Site Data","America/Chicago","http://infotrek.er.usgs.gov/nawqa_www",NA,NA,2013-02-05 19:46:47,2013-02-05 19:46:47,NA
"NAWQA Data Warehouse","69878826","27722501","UA-27722501-6","67886432","All Web Site Data","America/Los_Angeles","http://infotrek.er.usgs.gov/warp/",NA,NA,2013-03-06 16:16:23,2013-03-06 16:16:23,NA
"NAWQA Data Warehouse","69880214","27722501","UA-27722501-7","67889525","All Web Site Data","America/Los_Angeles","http://infotrek.er.usgs.gov/nasqan_query/",NA,NA,2013-03-06 16:18:30,2013-03-06 16:18:30,NA
"NAWQA Data Warehouse","69883813","27722501","UA-27722501-10","67904901","All Web Site Data","America/Los_Angeles","http://internal.mdc.usgs.gov/nawqa_queries_internal/",NA,NA,2013-03-06 19:20:24,2013-03-06 19:20:24,NA
"NAWQA Data Warehouse","69897601","27722501","UA-27722501-12","67901206","All Web Site Data","America/Los_Angeles","http://infotrek.er.usgs.gov/nawqa_queries/",NA,NA,2013-03-06 19:22:31,2013-03-06 19:22:31,NA
"NAWQA Data Warehouse","83069807","27722501","UA-27722501-13","80288862","All Web Site Data","America/Chicago","http://water.usgs.gov/nawqa/HBSL",NA,NA,2014-03-06 05:19:59,2014-03-06 05:19:59,NA
"NAWQA Data Warehouse","87416253","27722501","UA-27722501-14","84351015","All Web Site Data","America/Chicago","http://cida-eros-apexdev1.er.usgs.gov/devdw/apex/f",NA,NA,2014-06-16 18:59:11,2014-06-16 18:59:11,NA
"NGWMN Data Portal","56773153","29564531","UA-29564531-2","55739376","NGWMN Data Portal","America/Chicago","http://cida.usgs.gov/ngwmn",NA,NA,2012-02-28 16:51:41,2016-01-05 15:37:23,NA
"NGWMN Data Portal","59052384","29564531","UA-29564531-2","55739376","NGWMN Data Portal (NO FILTERS)","America/Los_Angeles","http://cida.usgs.gov/gw_data_portal/index.jsp",NA,NA,2012-04-24 19:13:02,2016-01-05 15:37:23,NA
